match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000069,matchup_0001,69,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,55,5,variable_2_4,1,56,1,variable_2_4,1,56,1,loss
match_000069,matchup_0001,69,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,56,1,fixed_2p,1,55,5,fixed_2p,1,55,5,win
match_000070,matchup_0001,70,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,55,3,fixed_2p,1,60,3,fixed_2p,1,60,3,loss
match_000070,matchup_0001,70,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,60,3,variable_2_4,1,55,3,variable_2_4,1,55,3,win
match_000071,matchup_0001,71,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,64,3,fixed_2p,1,58,3,fixed_2p,1,58,3,win
match_000071,matchup_0001,71,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,58,3,variable_2_4,1,64,3,variable_2_4,1,64,3,loss
match_000072,matchup_0001,72,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,55,4,variable_2_4,1,49,2,variable_2_4,1,49,2,win
match_000072,matchup_0001,72,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,49,2,fixed_2p,1,55,4,fixed_2p,1,55,4,loss
match_000073,matchup_0001,73,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,52,3,variable_2_4,1,63,0,variable_2_4,1,63,0,loss
match_000073,matchup_0001,73,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,63,0,fixed_2p,1,52,3,fixed_2p,1,52,3,win
match_000074,matchup_0001,74,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,55,3,fixed_2p,1,64,3,fixed_2p,1,64,3,loss
match_000074,matchup_0001,74,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,64,3,variable_2_4,1,55,3,variable_2_4,1,55,3,win
match_000075,matchup_0001,75,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,51,5,variable_2_4,1,61,1,variable_2_4,1,61,1,loss
match_000075,matchup_0001,75,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,61,1,fixed_2p,1,51,5,fixed_2p,1,51,5,win
match_000076,matchup_0001,76,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,53,3,variable_2_4,1,65,1,variable_2_4,1,65,1,loss
