device=cuda  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 512, "buffer_size": 100000, "compile": false, "cuda": true, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 447, "mlp_depth": 2, "n_players": null, "reward_scale": 0.1, "save_path": "models/DQN/sushi_go_qnet_large_2-4_players.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 16, "use_encoder": false}
[92m2026-06-07 18:53:21,717 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-07 18:53:56,925 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter 143 | loss=0.0416 | eps=0.957 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 144 | loss=0.0366 | eps=0.957 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 145 | loss=0.0365 | eps=0.956 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 146 | loss=0.0317 | eps=0.956 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter 147 | loss=0.0374 | eps=0.956 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 148 | loss=0.0366 | eps=0.956 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 149 | loss=0.0347 | eps=0.955 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter 150 | loss=0.0385 | eps=0.955 | mean turn reward=+0.133 | mean episode return/seat=+3.51
iter 151 | loss=0.0326 | eps=0.955 | mean turn reward=+0.131 | mean episode return/seat=+3.50
iter 152 | loss=0.0351 | eps=0.954 | mean turn reward=+0.132 | mean episode return/seat=+3.49
iter 153 | loss=0.0340 | eps=0.954 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 154 | loss=0.0362 | eps=0.954 | mean turn reward=+0.132 | mean episode return/seat=+3.54
iter 155 | loss=0.0354 | eps=0.954 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter 156 | loss=0.0371 | eps=0.953 | mean turn reward=+0.130 | mean episode return/seat=+3.36
iter 157 | loss=0.0347 | eps=0.953 | mean turn reward=+0.131 | mean episode return/seat=+3.42
iter 158 | loss=0.0366 | eps=0.953 | mean turn reward=+0.133 | mean episode return/seat=+3.51
iter 159 | loss=0.0326 | eps=0.952 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter 160 | loss=0.0328 | eps=0.952 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 161 | loss=0.0342 | eps=0.952 | mean turn reward=+0.132 | mean episode return/seat=+3.46
iter 162 | loss=0.0338 | eps=0.951 | mean turn reward=+0.130 | mean episode return/seat=+3.39
iter 163 | loss=0.0338 | eps=0.951 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 164 | loss=0.0326 | eps=0.951 | mean turn reward=+0.129 | mean episode return/seat=+3.34
iter 165 | loss=0.0349 | eps=0.951 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter 166 | loss=0.0333 | eps=0.950 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 167 | loss=0.0336 | eps=0.950 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter 168 | loss=0.0335 | eps=0.950 | mean turn reward=+0.130 | mean episode return/seat=+3.39
