match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000038,matchup_0001,38,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,39,5,variable_2_4,1,39,2,variable_2_4,1,39,2,win
match_000039,matchup_0001,39,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,60,2,variable_2_4,1,50,2,variable_2_4,1,50,2,win
match_000039,matchup_0001,39,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,50,2,fixed_2p,1,60,2,fixed_2p,1,60,2,loss
match_000040,matchup_0001,40,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,57,3,variable_2_4,1,58,3,variable_2_4,1,58,3,loss
match_000040,matchup_0001,40,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,58,3,fixed_2p,1,57,3,fixed_2p,1,57,3,win
match_000041,matchup_0001,41,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,62,3,fixed_2p,1,71,2,fixed_2p,1,71,2,loss
match_000041,matchup_0001,41,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,71,2,variable_2_4,1,62,3,variable_2_4,1,62,3,win
match_000042,matchup_0001,42,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,64,1,fixed_2p,1,61,1,fixed_2p,1,61,1,win
match_000042,matchup_0001,42,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,61,1,variable_2_4,1,64,1,variable_2_4,1,64,1,loss
match_000043,matchup_0001,43,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,58,3,fixed_2p,1,69,4,fixed_2p,1,69,4,loss
match_000043,matchup_0001,43,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,69,4,variable_2_4,1,58,3,variable_2_4,1,58,3,win
match_000044,matchup_0001,44,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,58,4,variable_2_4,1,48,2,variable_2_4,1,48,2,win
match_000044,matchup_0001,44,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,48,2,fixed_2p,1,58,4,fixed_2p,1,58,4,loss
match_000045,matchup_0001,45,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,60,2,variable_2_4,1,50,2,variable_2_4,1,50,2,win
match_000045,matchup_0001,45,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,50,2,fixed_2p,1,60,2,fixed_2p,1,60,2,loss
match_000046,matchup_0001,46,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,69,3,fixed_2p,1,68,3,fixed_2p,1,68,3,win
match_000046,matchup_0001,46,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,68,3,variable_2_4,1,69,3,variable_2_4,1,69,3,loss
match_000047,matchup_0001,47,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,62,2,fixed_2p,1,59,4,fixed_2p,1,59,4,win
match_000047,matchup_0001,47,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,59,4,variable_2_4,1,62,2,variable_2_4,1,62,2,loss
match_000048,matchup_0001,48,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,63,4,variable_2_4,1,47,1,variable_2_4,1,47,1,win
match_000048,matchup_0001,48,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,47,1,fixed_2p,1,63,4,fixed_2p,1,63,4,loss
match_000049,matchup_0001,49,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,57,2,fixed_2p,1,56,3,fixed_2p,1,56,3,win
match_000049,matchup_0001,49,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,56,3,variable_2_4,1,57,2,variable_2_4,1,57,2,loss
match_000050,matchup_0001,50,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,52,2,fixed_2p,1,60,5,fixed_2p,1,60,5,loss
match_000050,matchup_0001,50,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,60,5,variable_2_4,1,52,2,variable_2_4,1,52,2,win
match_000051,matchup_0001,51,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,54,4,variable_2_4,1,57,0,variable_2_4,1,57,0,loss
match_000051,matchup_0001,51,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,57,0,fixed_2p,1,54,4,fixed_2p,1,54,4,win
match_000052,matchup_0001,52,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,58,3,fixed_2p,1,61,2,fixed_2p,1,61,2,loss
match_000052,matchup_0001,52,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,61,2,variable_2_4,1,58,3,variable_2_4,1,58,3,win
match_000053,matchup_0001,53,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,53,4,fixed_2p,1,57,4,fixed_2p,1,57,4,loss
match_000053,matchup_0001,53,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,57,4,variable_2_4,1,53,4,variable_2_4,1,53,4,win
match_000054,matchup_0001,54,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,57,3,fixed_2p,1,61,1,fixed_2p,1,61,1,loss
match_000054,matchup_0001,54,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,61,1,variable_2_4,1,57,3,variable_2_4,1,57,3,win
